ClientId,HispanicSubgroupId
3660,1
3669,1
3693,1
3694,1
3699,1
3706,1
3710,1
3722,1
3738,1
3739,1
3744,1
3745,1
3751,1
3752,1
3757,1
3769,1
3786,1
3791,1
3794,1
3802,1
3805,1
3807,1
3808,1
3820,1
3848,1
3849,1
3872,1
3885,1
3888,1
3901,1
3914,1
3915,1
3927,1
3928,1
3938,1
3952,1
3956,1
3974,1
3979,1
3982,1
3988,1
3989,1
3990,1
3991,1
4008,1
4017,1
4026,1
4034,1
4040,1
4055,1
4056,1
4057,1
4061,1
4069,1
4073,1
4077,1
4081,1
4084,1
4089,1
4093,1
4103,1
4113,1
4117,1
4132,1
4153,1
4158,1
4161,1
4165,1
4172,1
4175,1
4188,1
4192,1
4196,1
4199,1
4204,1
4205,1
4208,1
4212,1
4214,1
4215,1
4216,1
4225,1
4227,1
4239,1
4244,1
4264,1
4271,1
4272,1
4274,1
4282,1
4285,1
4290,1
4300,1
4304,1
4306,1
4307,1
4311,1
4314,1
4318,1
4319,1
4323,1
4331,1
4340,1
4342,1
4348,1
4364,1
4366,1
4367,1
4374,1
4386,1
4394,1
4400,1
4404,1
4406,1
4418,1
4421,1
4422,1
4428,1
4439,1
4440,1
4446,1
4450,1
4454,1
4463,1
4465,1
4468,1
4469,1
4473,1
4476,1
4484,1
4485,1
4491,1
4506,1
4509,1
4519,1
4527,1
4536,1
4544,1
4547,1
4549,1
4550,1
4559,1
4564,1
4566,1
4567,1
4568,1
4575,1
4581,1
4594,1
4596,1
4598,1
4600,1
4609,1
4611,1
4612,1
4615,1
4616,1
4629,1
4636,1
4643,1
4651,1
4657,1
4670,1
4671,1
4673,1
4674,1
4677,1
4680,1
4688,1
4691,1
4695,2
4696,1
4701,1
4707,1
4716,1
4718,1
4719,1
4726,1
4730,1
4731,1
4739,1
4740,1
4746,4
4752,1
4753,1
4759,1
4761,1
4777,1
4786,1
4792,1
